Artist,Auction_opening_bid,auction_protected,Bloomies cost,Bloomies-sold,Category,circa,Country Of Origin,Featured Poster,Height,JPG,JPG_180_DPI,JPG_300_DPI,Manufaturer Date,Product ID,Product Name,Web Date Added,Web Keywords,Web Main Category,Web price,Web Relevance,Web Sub Category,Width
CARL KUNST,300,600,600,,"HORIZONTAL
SKIING
AUSTRIAN
SPORTS
RFA 2
GIFT
THUMBNAILS
GO-Ant
MULTIPLE
Box A
GIFT-SHOW
DAVID",C,German/Germany,,29.5,5288.jpg,5288-180DPI.jpg,5288-300DPI.jpg,1915,5288,BILGER,8/10/18,"POLE
CROSS 
HORIZONTAL
Winter Sports
Father
CROSS 
PURPLE
AUSTRIA
SNOW
MOUNTAIN
snow
",Sports,950,3,Skiing,20
NICOLITCH,,,1600,,"OVERSIZE
ENTERTAIN
FRENCH
UNIQUE
SELECT. JODI",C,French/France,,25,5356.jpg,5356-180DPI.jpg,5356-300DPI.jpg,1920,5356,NINA VRES,4/19/17,"HEART
LOVE
 ROMANCE
FLAPPER",Entertainment,2800,3,Entertainers,76
WEIMER PURSELL,,,600,,"SPORTS
FRENCH
UNIQUE",,French/France,,25.75,5363.jpg,5363-180DPI.jpg,5363-300DPI.jpg,1955,5363,WINCHESTER - RABBIT,8/10/18,"RIFLE
BULLET
AMMUNITION
FATHER'S DAY
WESTERN
RABBIT
Father's Day
$1,000 & Under
HARE
BUNNY
GIFTS FOR HIM
HUNT
GUN
ANIMAL",Products,900,4,"OtherProducts
OtherSports",40
ANONYMOUS,,,500,,"FRENCH
SPORTS
UNIQUE",,American/America,,14,5378.jpg,5378-180DPI.jpg,5378-300DPI.jpg,1942,5378,WHAT DO YOU SAY AMERICA - ADMIRAL YAMAMOTO,4/4/18,"ADMIRAL
YAMAMOTO
recruit
homefront
japan
japanese",War/Military,700,3,WWII,20
ANONYMOUS,,,500,,"AMERICAN
HORIZONTIAL
SPORTS
UNIQUE",,American/America,,14,5379.jpg,5379-180DPI.jpg,5379-300DPI.jpg,1942,5379,WHAT DO YOU SAY AMERICA - MUSSOLINI,4/4/18,"ITALY
MUSSOLINI
recruit
homefront",War/Military,700,3,WWII,20
EYMONNET,,,750,,"SWISS
SPORTS
UNIQUE
HORIZONTAL",,BRASIL,,29.5,5381.jpg,5381-180DPI.jpg,5381-300DPI.jpg,1947,5381,PAN AIR DO BRASIL - A FROTA BANDEIRANTE,6/4/18,"PLANISPHERE
MAP
pan am
$1,000 & Under
BRAZIL
BRAZILIAN
PORTUGUESE
GIFTS FOR HIM
SOUTH AMERICA
Central & South America
TRAVEL","Transportation
Travel",950,3,"Aviation
Other-Travel
Maps/Charts",24.75
ALPHONS MUCHA,,,,,"SWISS
SPORTS
UNIQUE",,American/America,Featured Poster,12.25,5384.jpg,5384-180DPI.jpg,5384-300DPI.jpg,1920,5384,MUCHA EXHIBITION BROOKLYN MUSEUM,6/19/18,"BROOKLYN
MUSEUM
SLAV
SLAVIC
RARE",Entertainment,9999,2,Exposition,19.25
GEORGES VILLA,,,1500,,"SWISS
SPORTS
UNIQUE",C,Swiss/Switzerland,Featured Poster,30,5392.jpg,5392-180DPI.jpg,5392-300DPI.jpg,1925,5392,RAISIN  - GEORGES VILLA,8/10/18,"GRAPE
DECO
VITAMIN
$5,000 & Under
GIFTS FOR THE HOM
For the Holiday Host
VALENTINE",Food,2000,3,Fruit/Vegetables,46.75
KISSACK,,,750,select bloomies,"FRENCH
SPORTS
UNIQUE",,American/America,,24,5394.jpg,5394-180DPI.jpg,5394-300DPI.jpg,1935,5394,OMOLENE - PURINA,7/12/18,"HORSE
FEED
FEMALE
RIDE
FASHION
EQUESTRIAN
What to Get the Graduate
camping
GIFTS FOR HER
$5,000 & Under",Products,1100,3,Equestrian,37.75
ROBYS,,,3500,,"FR
NCH
HORIZONTAL
LIQUOR
OVERSIZE
UNIQUE
GIFT",,French/France,Featured Poster,72,5443.jpg,5443-180DPI.jpg,5443-300DPI.jpg,1935,5443,BITTER SECRESTAT - ROBYS,8/13/18,"FRENCH
HORIZONTAL
OVERSIZE
MEN
For-him
BAR
father
BARTENDER",Liquor,5200,2,"Men
Liqueur
Spirits",51
ANONYMOUS,,,450,,"FRENCH
LIQUOR
UNIQUE
SELECT. JODI",C,French/France,,13.75,5456.jpg,5456-180DPI.jpg,5456-300DPI.jpg,1925,5456,CHAMPAGNE ANDRE LAINE,8/10/18,"What to get the graduate
$1,000 & Under
GIFTS FOR HER
For the Holiday Host",Liquor,800,3,Champagne,19
JARVILLE,300,500,600,,"FR
NCH
LIQUOR
MULTIPLE
CATALOG ITEM
Liq
RFA 2
GIFT
RFA 4-03
APPLEJACK
GO-Ant
GIFT-SHOW
SELECTC
THUMBNAILS
Box A
GING
BLOOM
DAVID",,French/France,,47,5536.jpg,5536-180DPI.jpg,5536-300DPI.jpg,1922,5536,PRUNELLE MAN,8/13/18,"FRENCH
MEN
him
flashGRAPE
",Liquor,1200,3,Spirits,63
BERNARD VILLEMOT,175,,350,select bloomies,"FRENCH
FOOD
PRODUCTS
UNIQUE
RFA 2
GIFT
RFA 4-03",,French/France,,15.5,5537.jpg,5537-180DPI.jpg,5537-300DPI.jpg,1983,5537,PERRIER TRIO VILLEMOT,4/4/18,"FRENCH
PRODUCTS
Holiday Guide 2016
GIFTS FOR HER
GIFTS FOR THE HOME
WOMEN
MEN
COUPLES
WATER
For Your Better Half
For the Holiday Host
PARTY
SHOWGIRL
april in paris
What to Get the Graduate
$1,000 & Under",Products,650,5,Beverages,24
AVERARDO CIRIELLO,,,850,,"AMERICAN
CINEMA
UNIQUE",C,American/America,,39.5,5618.jpg,5618-180DPI.jpg,5618-300DPI.jpg,1975,5618,MISSIONE GOLDFINGER - RE RELEASE,8/13/18,"SEAN CONNERY
FLEMING
Father
FATHER'S DAY
For Your Better Half
VALENTINE
SPY
GUN
GOLD
james bond
Father's Day
MID CENTURY
GIFTS FOR HIM
Father's Day
$5,000 & Under",Entertainment,1300,4,Movie,55
ADAMI,50,,125,,"FRENCH
SPORTS
MULTIPLE
SELECTMICK2
GIFT-SHOW
SELECTC
DAVID",,French/France,,22.5,5621.jpg,5621-180DPI.jpg,5621-300DPI.jpg,1980,5621,ROLAND GARROS 1980 - ADAMI,12/27/17,"FRENCH OPEN
TENNIS
OCT 08
him
flash
FATHER'S DAY
SPRING SPORTS
$250 & UNDER
april in paris
what to get the graduate
GIFTS FOR HIM
SUMMER",Sports,250,5,Tennis,29
EMPOLI,,,800,,"ITALIAN
LIQUOR
UNIQUE",,Italian/Italy,,39,5730.jpg,5730-180DPI.jpg,5730-300DPI.jpg,1940,5730,CHIANTI CAMPANI - LARGE,8/10/18,"September Additions
wine
red wine
grapes
$5,000 & Under
ITALIAN
gnome
clown
chianti",Liquor,1700,3,"Fruit/Vegetables
Wine",55
OTTO NIELSEN,,,550,select bloomies,"SWISS
TRAVEL
UNIQUE",C,Scandinavian/Scandinavia,,24.75,5740.jpg,5740-180DPI.jpg,5740-300DPI.jpg,1955,5740,SAS - AFRICA - ZEBRAS,7/11/18,"ZEBRA
AFRICA
SAFARI
$1,000 & Under
GIFTS FOR THE HOME
On Safari
Estate Collection",Travel,900,4,"Aviation
Other-Travel",39
BOB LEE HICKSON,,,175,,"AMERICAN
ENTERTAIN
MULTIPLE
CATALOG ITEM
RFA 4-03
GO-Ant
GIFT-SHOW
GING",,American/America,,29.5,5765.jpg,5765-180DPI.jpg,5765-300DPI.jpg,1973,5765,WNEW ELLA FITZGERALD,5/11/18,"AMERICAN
AFRICA
AFRO
For Your Better Half
BLACK
GoAnt
JAZZ
RADIO
new york
$500 & UNDER
GIFTS FOR HIM",Entertainment,350,5,"Entertainers
Music
Radio/TV",45.5
BOB LEE HICKSON,,,175,,"AMERICAN
ENTERTAIN
MULTIPLE
CATALOG ITEM
RFA 4-03",,American/America,,29.5,5766.jpg,5766-180DPI.jpg,5766-300DPI.jpg,1973,5766,WNEW LOUIS ARMSTRONG,8/10/18,"AMERICAN
JAZZ
TRUMPET
AFRICAN 
Father
FATHER'S DAY
BLACK
GIFTS FOR HIM
For Your Better Half
RADIO
new york
$500 & UNDER
TOP PICKS
 
 
",Entertainment,350,5,"Entertainers
Music
Radio/TV",45.5
LEONETTO CAPPIELLO,,,,,"FR
NCH
OVERSIZE
FASHION
UNIQUE
GO-Ant",,French/France,,81,5780.jpg,,,1922,5780,BAS REVEL - 2 PANELS,3/29/16,"FRENCH
OVERSIZE
WOMEN
kaplan",Products,3000,3,"Dance/Ballet
Fashion",124
ROBYS,150,,,,DAVID,C,French/France,,47,5883.jpg,5883-180DPI.jpg,,1935,5883,GAZELLE SHOES,8/13/18,"FRENCH
FASHION
PRODUCTS
UNIQUE
abby
SHOE
flash",Products,600,3,Fashion,63
TAMAGNO,1400,2200,1700,,"FRENCH
PRODUCTS
TOBACCO
UNIQUE
GIFT-SHOW
SELECT. MICK",C,French/France,,38.5,5887.jpg,5887-180DPI.jpg,5887-300DPI.jpg,1905,5887,CACHOU LAJAUNIE TAMAGNO,8/10/18,"FRENCH
PRODUCTS
WOMEN
MEN
BREATH
LOZENGE
CIGAR
ART NOUVEAU
bestseller
$5,000 & Under",Products,3200,2,Tobacco,51.5
DAVID KLEIN,,,1700,,"AMERICAN
AVIATION
TRAVEL
UNIQUE",C,American/America,Featured Poster,25,5902.jpg,5902-180DPI.jpg,5902-300DPI.jpg,1950,5902,FLY TWA - AFRICA,8/10/18,"ZEBRA
AFRICA
geometric
black and white
SUMMER",Travel,2200,4,"Aviation
USA-Travel",40
ANONYMOUS,70,100,400,,"FRENCH
AUTOS
PRODUCTS
HORIZONTAL
TRANSPORT
MULTIPLE
CATALOG ITEM
ART.COM
GO-Ant
DAVID",,French/France,,30.5,5935.jpg,5935-180DPI.jpg,5935-300DPI.jpg,1936,5935,LANCIA VEEDOL MOTOR OIL,8/10/18,"FRENCH
PRODUCTS
FATHER'S DAY
HORIZONTAL
WOMEN
CAR
AUTO
AUTOMOBILE
OIL","Transportation
Products",600,3,"Autos/Trucks
OtherProducts",23
ANONYMOUS,,,,,"ITALIAN
HORIZONTAL
FOOD
MULTIPLE
RFA 2
RFA 4-03",C,Italian/Italy,,17,5980.jpg,5980-180DPI.jpg,5980-300DPI.jpg,1920,5980,DI COLA'S FINEST SICILY MACARONI,4/4/18,"macaroni
pasta
 sicily
medallion
award",Food,250,3,,10
LE MONNIER,150,,650,,"FRENCH
OVERSIZE
LIQUOR
MULTIPLE
Liq
GO-Ant
ART.COM",C,French/France,,62,5993.jpg,5993-180DPI.jpg,5993-300DPI.jpg,1925,5993,EXIGEZ UN PEUREUX,8/10/18,"FRENCH
OVERSIZE
MEN
LIQUOR
RED
bottle",Liquor,1600,3,Spirits,92
LEONETTO CAPPIELLO,50,,,,"MULTIPLE
FRENCH
FASHION
GIFT-SHOW
SELECT. JODI",,French/France,,4.5,6026.jpg,6026-180DPI.jpg,6026-300DPI.jpg,1920,6026,PARAPLUIE REVEL - ENGLISH SMALL,5/2/18,"POPULAR POSTER
OCT 08
him
flash
Father's Day
$250 & UNDER
TOP PICKS
Holiday Guide 2016
graduate",Products,75,3,Fashion,7
ADRIANA,,,1100,,"ITALIAN
TRAVEL
UNIQUE
SELECT. JODI",,Italian/Italy,,27,6040.jpg,6040-180DPI.jpg,6040-300DPI.jpg,1947,6040,SALSOMAGGIORE SPA ,8/10/18,"THERMAL
SPA
BATH
BATHROOM
ORANGE
relax",Travel,1800,4,Italian-Travel,39.5
AUZOLLE,500,700,1400,select bloomies,"FR
NCH
LIQUOR
CATALOG ITEM
Liq
APPLEJACK
SELECTMICK2
GO-Ant
MULTIPLE
Box A
GIFT-SHOW
GING
DAVID",C,French/France,,31,6068.jpg,6068-180DPI.jpg,6068-300DPI.jpg,1920,6068,CHAMPAGNE MASSE,8/13/18,"FRENCH
LIQUOR
CHAMPAGNE
BROWN
GOANT
$5,000 & Under
top picks
Father's Day",Liquor,1900,2,Champagne,46.5
CHAPLET,75,,,,"FRENCH
TRANSPORT
TRAVEL
NAUTICAL
HORIZONTAL
MULTIPLE
CATALOG ITEM
DAVID",,French/France,,30,6082.jpg,6082-180DPI.jpg,6082-300DPI.jpg,1950,6082,LYAUTEY,6/21/18,"FRENCH
TRAVEL
HORIZONTAL

OCT 08
JUNE 09
SHIPPING LINE
SAILBOAT
SAIL
SHIP",Transportation,200,4,Nautical/Boats,22
d'apres MARTIN,175,,300,select bloomies,"HORIZONTAL
FRENCH
LIQUOR
MULTIPLE
CATALOG ITEM
Liq
RFA 2
GIFT
RFA 4-03
GIFT-SHOW
BLOOM",C,French/France,,39,6085.jpg,6085-180DPI.jpg,6085-300DPI.jpg,1980,6085,L'ART DE BOIRE LE VIN,8/13/18,"HORIZONTAL
FRENCH
For the Holiday Host
THE ART OF DRINKING WINE
GIFTS FOR THE HOME
DECO
top picks
$1,000 & Under
Holiday Guide 2016
GIFTS FOR HIM
GIFTS FOR HER
 



",Liquor,600,4,Wine,28
ANONYMOUS,200,,,,"FRENCH
LIQUOR
MULTIPLE
CATALOG ITEM
Liq
OVERSIZE
GO-Ant
THUMBNAILS
DAVID",C,French/France,,42.5,6089.jpg,6089-180DPI.jpg,6089-300DPI.jpg,1925,6089,QUINQUINA BONNET,8/10/18,"FRENCH
MEN
waiter
flash
GIFTS FOR HIM
OVERSIZE
",Liquor,950,3,Spirits,75.5
DOUTRELIGNE,,,,,"COFFEE/TEA
FOOD
FRENCH
UNIQUE
GO-Ant",C,French/France,,46,6092.jpg,6092-180DPI.jpg,6092-300DPI.jpg,1970,6092,DEGUSTATION LIBERTE NESCAFE,6/19/17,"COFFEE
CAFE
INSTANT COFFEE
BREAKFAST
CUP SAUCER
",Food,550,5,"Coffee/Tea
Railways/Trains",66.25
ARESTEIN,50,,,,"FRENCH
SPORTS
MULTIPLE
GO-Ant
DAVID",C,French/France,,31.5,6219.jpg,6219-180DPI.jpg,6219-300DPI.jpg,1955,6219,SONORA LUTTE WRESTLING,2/10/18,"MIDCENTURY
WRESTLING
TV
TELEVISION
TECHNOLOGY
FIGHT","Sports
Entertainment",350,4,"Radio/TV
OtherSports",47.5
JEAN DYLEN,,,4800,,UNIQUE,,Belgium/,Featured Poster,44.25,6228.jpg,6228-180DPI.jpg,6228-300DPI.jpg,1923,6228,BALSAM APERITIF SKIER - D'YLEN,8/13/18,"SKI
APERITIF
Winter Sports
QUINQUINA
For the Collector
belgian
belgium
alps
leiderhosen
winter
snow
liqueur
bar
For the Collector
snow","Liquor
Sports",8800,3,"Skiing
Spirits",63
ANONYMOUS,,,,,"FRENCH
SPORTS
AUTOS
MULTIPLE
SELECT. JODI
DAVID",,French/France,,15.5,6236.jpg,6236-180DPI.jpg,6236-300DPI.jpg,1966,6236,LA FEMME ET LE SPORT,12/27/17,"OCT 08
JUNE 09

GIFTS FOR HER",Sports,175,4,"Autos/Trucks
OtherSports",23.5
FOURNERY,800,1200,1700,,"DOGS/CATS
FRENCH
FASHION
CYCLES
UNIQUE
TRANSPORT
GIFT
APPLEJACK
SPORTS",,French/France,,31.5,6272.jpg,6272-180DPI.jpg,6272-300DPI.jpg,1925,6272,DE DION BOUTON,6/25/18,"DOGS/CATS
deco
ART DECO
SUMMER
CYCLE
SPRING SPORTS","Transportation
Products",2200,3,"Bicycles/Motorcycles
Cycling
Fashion",47
JULES CHERET,2500,3300,2600,,"FRENCH
EXPOSITION
UNIQUE",,French/France,Featured Poster,34.5,6329.jpg,6329-180DPI.jpg,6329-300DPI.jpg,1900,6329,MUSEE GREVIN AVANT LA LETTRE,8/7/18,"belle epoque
ART NOUVEAU
THEATRE
PIERROT
THEATER
LANTERN
kestenbaum clown
$5,000 & Under
GIFTS FOR HER
Mother
pierrot
guitar 
moon
lantern

",Entertainment,4000,2,Theater/Opera,48.5
ANONYMOUS,50,,,,"BELGIUM
HORIZONTAL
FOOD
UNIQUE
CATALOG ITEM
DAVID",C,Belgium/,,24,6356.jpg,6356-180DPI.jpg,6356-300DPI.jpg,1990,6356,PERRIER H2ZOT,6/21/18,"BELGIUM
HORIZONTAL

 MODERN",Food,200,5,Beverages,8.5
WILLETTE,,,,,"FRENCH
COFFEE/TEA
FOOD
PRODUCTS
UNIQUE",,French/France,,11.5,6359.jpg,6359-180DPI.jpg,6359-300DPI.jpg,1895,6359,MAITRES DE L'AFFICHE - PL 43 CACAO VAN HOUTEN,6/27/18,"COCOA
DRINK
BEVERAGE
KITCHEN
DUTCH
HOLLAND","Food
Products",275,1,"Chocolate/Candy
Coffee/Tea",15.5
BEGGARSTAFF,,,,,"BRITISH
ENTERTAIN
UNIQUE
RFA 4-03
GO-Ant",,French/France,,11.5,6360.jpg,6360-180DPI.jpg,6360-300DPI.jpg,1896,6360,MAITRES DE L'AFFICHE - PL 16 HARPER'S STILL ONE SHILLING,7/17/18,"LITERARY
MAGAZINE
NEWSPAPER
JOURNAL
LITERATURE
AMERICAN
AMERICA",Entertainment,400,1,OtherEntertain,15.5
WHEELER,75,,100,,"AMERICAN
HORIZONTAL
SPORTS
OLYMPIC
MULTIPLE
CATALOG ITEM
RFA 2
GIFT
GIFT-SHOW
SELECT. JODI
DAVID",,American/America,,25.5,6439.jpg,6439-180DPI.jpg,6439-300DPI.jpg,1980,6439,LAKE PLACID 1980 FIGURE SKATER,8/13/18,"AMERICAN
HORIZONTAL
OCT 08
june 09
$250 & UNDER
snow
olympics

Winter Sports",Sports,200,5,"Skating
olympic",19
ANONYMOUS,,,,,"BRITISH
CHILDREN
HORIZONTAL
ENTERTAIN
RFA 2
GIFT
UNIQUE",C,British/English,,40,6442.jpg,6442-180DPI.jpg,6442-300DPI.jpg,1930,6442,ALADDIN PANTOMIME,7/26/17,"BRITISH
CHILDREN
HORIZONTAL
MAGIC
CELESTIAL
GENIE
SORCERER
MIDDLE EAST
FABLE
STORY
ALI BABA 
HALLOWEEN
 ",Entertainment,550,3,Circus/Magic,30
ANONYMOUS,,,160,,"AMERICAN
SPORTS
NAUTICAL
CATALOG ITEM
LIQUOR
RFA 4-03 ADS
RFA 4-03
UNIQUE",,American/America,,18,6489.jpg,6489-180DPI.jpg,6489-300DPI.jpg,1983,6489,AMERICA'S CUP 1983 MUMM CHAMPAGNE,5/2/18,"AMERICAN
SPORTS
NAUTICAL
MODERN
MUMM
SAIL
FATHER'S DAY
NEWPORT
SUMMER","Liquor
Sports",250,5,"Champagne
Nautical/Boats",24
BIMFIELD,,,,,"ITALIAN
PRODUCTS
MULTIPLE
EXPOSITION
DAVID",C,Italian/Italy,,19,6529.jpg,6529-180DPI.jpg,6529-300DPI.jpg,1990,6529,OLIVETTI NETWORK AND SYSTEM,6/21/18,"ITALIAN
PRODUCTS
computer
laptop
notebook
geek

OCT 08
JUNE 09
",Products,250,5,"Exposition
Home/Appliances",27
